ticker,cik,fy,fp,form,filed,end,start,accn,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,GrossProfit,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,Liabilities,StockholdersEquity,CashAndCashEquivalentsAtCarryingValue,NetCashProvidedByUsedInOperatingActivities,PaymentsToAcquirePropertyPlantAndEquipment,LongTermDebt,ShortTermInvestments,CostOfRevenue,OperatingExpenses,IncomeTaxExpenseBenefit,AccountsReceivableNetCurrent
KDP,0001418135,2016,FY,10-K,2017-02-14,2014-12-31,2014-01-01,0001418135-17-000010,null,703000000,3.59,3.56,1180000000,3630000000,18000000,2334000000,8869000000,6686000000,2183000000,153000000,1022000000,170000000,3246000000,null,null,null,371000000,570000000
KDP,0001418135,2016,Q1,10-Q,2016-04-27,2015-03-31,2015-01-01,0001418135-16-000058,null,157000000,0.82,0.81,270000000,849000000,null,552000000,8869000000,6686000000,2183000000,237000000,101000000,20000000,3246000000,null,null,null,87000000,570000000
KDP,0001418135,2016,Q2,10-Q,2016-07-27,2015-06-30,2015-01-01,0001418135-16-000065,null,377000000,1.96,1.95,639000000,1830000000,null,1138000000,8869000000,6686000000,2183000000,237000000,349000000,42000000,3246000000,null,null,null,208000000,570000000
KDP,0001418135,2016,Q3,10-Q,2016-10-27,2015-09-30,2015-01-01,0001418135-16-000085,null,579000000,3.02,3,976000000,2787000000,null,1730000000,8869000000,6686000000,2183000000,237000000,723000000,71000000,3246000000,null,null,null,314000000,570000000
KDP,0001418135,2017,FY,10-K,2018-02-14,2015-12-31,2015-01-01,0001418135-18-000006,null,764000000,4,3.97,1298000000,3723000000,19000000,2313000000,9791000000,7657000000,2134000000,1787000000,1014000000,179000000,4325000000,null,null,null,420000000,595000000
KDP,0001418135,2017,Q1,10-Q,2017-04-26,2016-03-31,2016-01-01,0001418135-17-000020,null,182000000,0.97,0.96,313000000,885000000,null,546000000,9791000000,7657000000,2134000000,911000000,197000000,27000000,4325000000,null,null,null,99000000,595000000
KDP,0001418135,2017,Q2,10-Q,2017-07-27,2016-06-30,2016-01-01,0001418135-17-000042,null,442000000,2.37,2.35,725000000,1910000000,null,1136000000,9791000000,7657000000,2134000000,911000000,428000000,68000000,4325000000,null,null,null,241000000,595000000
KDP,0001418135,2017,Q3,10-Q,2017-10-25,2016-09-30,2016-01-01,0001418135-17-000047,null,682000000,3.66,3.64,1098000000,2907000000,null,1739000000,9791000000,7657000000,2134000000,911000000,705000000,110000000,4325000000,null,null,null,343000000,595000000
KDP,0001418135,2017,Q4,10-Q,2018-08-07,2016-12-24,2016-09-25,0001418135-18-000016,null,143000000,17.46,17.34,264000000,544000000,17000000,203000000,16107000000,9060000000,6828000000,null,435000000,null,5144000000,null,null,null,82000000,447000000
KDP,0001418135,2018,Q1,10-Q,2018-04-25,2017-03-31,2017-01-01,0001418135-18-000009,null,177000000,0.97,0.96,286000000,903000000,null,620000000,10022000000,7571000000,2451000000,1787000000,97000000,16000000,4230000000,null,null,null,71000000,668000000
KDP,0001418135,2018,Q2,10-Q,2018-08-08,2017-06-30,2017-01-01,0001418135-18-000025,null,365000000,1.99,1.98,661000000,1982000000,null,1301000000,10022000000,7571000000,2451000000,1787000000,410000000,41000000,4230000000,null,null,null,165000000,668000000
KDP,0001418135,2018,Q3,10-Q,2018-11-08,2017-09-30,2017-01-01,0001418135-18-000035,null,235000000,0.3,0.29,633000000,1485000000,null,852000000,15744000000,8081000000,7398000000,90000000,1321000000,45000000,5098000000,null,null,null,102000000,483000000
KDP,0001418135,2018,Q4,10-K,2019-02-28,2016-03-02,2015-09-27,0001418135-19-000007,null,100000000,0.66,0.66,147000000,800000000,31000000,653000000,15744000000,8081000000,2711000000,90000000,837000000,79000000,5098000000,null,null,null,39000000,483000000
KDP,0001418135,2019,FY,10-K,2020-02-27,2017-09-30,2016-09-25,0001418135-20-000007,null,378000000,0.48,0.47,897000000,2044000000,56000000,1147000000,48918000000,26385000000,6510000000,83000000,1749000000,66000000,14580000000,null,null,null,184000000,1150000000
KDP,0001418135,2019,Q1,10-Q,2019-05-09,2018-03-31,2018-01-01,0001418135-19-000037,null,88000000,0.11,0.11,178000000,481000000,null,300000000,48918000000,26385000000,7398000000,83000000,267000000,20000000,14580000000,null,null,null,51000000,1150000000
KDP,0001418135,2019,Q2,10-Q,2019-08-08,2018-03-31,2018-01-01,0001418135-19-000054,null,88000000,0.21,0.21,345000000,972000000,null,621000000,48918000000,26385000000,7398000000,83000000,578000000,44000000,14580000000,null,null,null,64000000,1150000000
KDP,0001418135,2019,Q3,10-Q,2019-11-07,2018-03-31,2018-01-01,0001418135-19-000080,null,88000000,0.33,0.32,690000000,2337000000,null,1649000000,48918000000,26385000000,7398000000,83000000,1063000000,104000000,14580000000,null,null,null,110000000,1150000000
KDP,0001418135,2020,FY,10-K,2021-02-25,2018-12-31,2018-01-01,0001418135-21-000005,null,586000000,0.54,0.53,1237000000,3882000000,64000000,2635000000,49518000000,26261000000,7398000000,75000000,1613000000,180000000,13174000000,null,null,null,202000000,1115000000
KDP,0001418135,2020,Q1,10-Q,2020-04-30,2019-03-31,2019-01-01,0001418135-20-000018,null,230000000,0.16,0.16,498000000,1398000000,null,911000000,49518000000,26261000000,22533000000,75000000,591000000,62000000,13174000000,null,null,null,85000000,1115000000
KDP,0001418135,2020,Q2,10-Q,2020-07-30,2019-03-31,2019-01-01,0001418135-20-000023,null,230000000,0.39,0.38,1085000000,3024000000,null,1939000000,49518000000,26261000000,22533000000,75000000,1203000000,118000000,13174000000,null,null,null,187000000,1115000000
KDP,0001418135,2020,Q3,10-Q,2020-10-29,2019-03-31,2019-01-01,0001418135-20-000031,null,230000000,0.6,0.6,1665000000,4649000000,null,2951000000,49518000000,26261000000,22533000000,75000000,1803000000,208000000,13174000000,null,null,null,296000000,1115000000
KDP,0001418135,2021,FY,10-K,2022-02-24,2019-12-31,2019-01-01,0001418135-22-000005,null,1254000000,0.89,0.88,2378000000,6342000000,81000000,3962000000,49779000000,25949000000,22533000000,240000000,2474000000,330000000,13488000000,null,null,null,440000000,1048000000
KDP,0001418135,2021,Q1,10-Q,2021-04-29,2020-03-31,2020-01-01,0001418135-21-000011,null,156000000,0.11,0.11,466000000,1452000000,null,1028000000,49779000000,25949000000,23257000000,240000000,414000000,151000000,13488000000,null,null,null,49000000,1048000000
KDP,0001418135,2021,Q2,10-Q,2021-07-29,2020-03-31,2020-01-01,0001418135-21-000018,null,156000000,0.32,0.32,1027000000,3014000000,null,2029000000,49779000000,25949000000,23257000000,240000000,1062000000,276000000,13488000000,null,null,null,157000000,1048000000
KDP,0001418135,2021,Q3,10-Q,2021-10-28,2020-03-31,2020-01-01,0001418135-21-000028,null,156000000,0.64,0.63,1780000000,4718000000,null,2978000000,49779000000,25949000000,23257000000,240000000,1666000000,356000000,13488000000,null,null,null,298000000,1048000000
KDP,0001418135,2022,FY,10-K,2023-02-23,2020-12-31,2020-01-01,0001418135-23-000003,null,1325000000,0.94,0.93,2480000000,6486000000,69000000,3978000000,50598000000,25626000000,23257000000,567000000,2456000000,461000000,11733000000,null,null,null,428000000,1148000000
KDP,0001418135,2022,Q1,10-Q,2022-04-28,2021-03-31,2021-01-01,0001418135-22-000011,null,325000000,0.23,0.23,640000000,1600000000,null,961000000,50598000000,25626000000,23829000000,567000000,546000000,95000000,null,null,null,null,73000000,1148000000
KDP,0001418135,2022,Q2,10-Q,2022-07-28,2021-03-31,2021-01-01,0001418135-22-000017,null,325000000,0.55,0.54,1374000000,3370000000,null,2000000000,50598000000,25626000000,23829000000,567000000,1139000000,204000000,null,null,null,null,238000000,1148000000
KDP,0001418135,2022,Q3,10-Q,2022-10-27,2021-03-31,2021-01-01,0001418135-22-000023,null,325000000,0.92,0.91,2169000000,5205000000,null,3040000000,50598000000,25626000000,23829000000,567000000,1933000000,325000000,null,null,null,null,387000000,1148000000
KDP,0001418135,2023,FY,10-K,2024-02-22,2021-12-31,2021-01-01,0001418135-24-000007,null,2146000000,1.52,1.5,2894000000,6977000000,66000000,4153000000,51837000000,26712000000,23829000000,535000000,2874000000,423000000,null,null,null,null,653000000,1484000000
KDP,0001418135,2023,Q1,10-Q,2023-04-27,2022-03-31,2022-01-01,0001418135-23-000009,null,585000000,0.41,0.41,966000000,1650000000,null,1018000000,51837000000,26712000000,24972000000,535000000,663000000,109000000,null,null,null,null,180000000,1484000000
KDP,0001418135,2023,Q2,10-Q,2023-07-27,2022-03-31,2022-01-01,0001418135-23-000014,null,585000000,0.57,0.56,1538000000,3426000000,null,2222000000,51837000000,26712000000,24972000000,535000000,1339000000,186000000,null,null,null,null,175000000,1484000000
KDP,0001418135,2023,Q3,10-Q,2023-10-26,2022-03-31,2022-01-01,0001418135-23-000018,null,585000000,0.69,0.69,1932000000,5327000000,null,3418000000,51837000000,26712000000,24972000000,535000000,2098000000,260000000,null,null,null,null,179000000,1484000000
KDP,0001418135,2024,FY,10-K,2025-02-25,2022-12-31,2022-01-01,0001418135-25-000013,null,1436000000,1.01,1.01,2605000000,7323000000,65000000,4645000000,52130000000,26454000000,24972000000,267000000,2837000000,353000000,null,null,null,null,284000000,1368000000
KDP,0001418135,2024,Q1,10-Q,2024-04-25,2023-03-31,2023-01-01,0001418135-24-000054,null,467000000,0.33,0.33,584000000,1744000000,null,1165000000,52130000000,26454000000,25126000000,267000000,71000000,62000000,null,null,null,null,114000000,1368000000
KDP,0001418135,2024,Q2,10-Q,2024-07-25,2023-03-31,2023-01-01,0001418135-24-000073,null,467000000,0.69,0.69,1353000000,3785000000,null,2437000000,52130000000,26454000000,25126000000,267000000,452000000,149000000,null,null,null,null,224000000,1368000000
KDP,0001418135,2024,Q3,10-Q,2024-10-24,2023-03-31,2023-01-01,0001418135-24-000090,null,467000000,1.06,1.05,2249000000,5896000000,null,3654000000,52130000000,26454000000,25126000000,267000000,1032000000,271000000,null,null,null,null,370000000,1368000000
KDP,0001418135,2025,Q1,10-Q,2025-04-24,2024-03-31,2024-01-01,0001418135-25-000061,null,454000000,0.33,0.33,765000000,1940000000,null,1176000000,53430000000,29187000000,25676000000,510000000,85000000,158000000,null,null,null,null,140000000,1502000000
KDP,0001418135,2025,Q2,10-Q,2025-07-24,2024-03-31,2024-01-01,0001418135-25-000103,null,454000000,0.71,0.7,1626000000,4112000000,null,2471000000,53430000000,29187000000,25676000000,510000000,742000000,273000000,null,null,null,null,297000000,1502000000
KDP,0001418135,2025,Q3,10-Q,2025-10-28,2024-03-31,2024-01-01,0001418135-25-000125,null,454000000,1.16,1.16,2528000000,6252000000,null,3716000000,53430000000,29187000000,25676000000,510000000,1370000000,398000000,null,null,null,null,483000000,1502000000
